A,density,avg_vertex_zeta,graph_zeta
1,0.0,0.011473443753566922,1.7716418012626113e-19
6,0.03571428571428571,0.0557017894422894,1.1021029317294448e-14
12,0.03571428571428571,0.05950387277562273,4.408411726917779e-14
20,0.017857142857142856,0.06117673058072692,2.2677015056161424e-14
27,0.08928571428571429,0.09009573899723897,1.0461367672275593e-14
36,0.125,0.15881995021670017,3.570813498803402e-12
46,0.0,0.028640469287672145,1.0431426925834253e-15
60,0.07142857142857142,0.09681989009164005,5.510514658647225e-12
70,0.125,0.15693835497686218,2.777934344379775e-13
84,0.07142857142857142,0.08559082929736186,2.160121746189712e-12
100,0.125,0.16117673058072693,1.1338507528080712e-13
115,0.0,0.02696814229174372,5.093470178630007e-16
140,0.14285714285714285,0.16987238275463998,1.11117373775191e-12
162,0.25,0.26352481132781125,8.034330372307656e-12
180,0.16071428571428573,0.20219657359332355,4.463516873504252e-10
207,0.08928571428571429,0.08474722277915754,8.020381882077954e-14
225,0.16071428571428573,0.11789516179666178,2.179451598390748e-12
253,0.0,0.015582860906462336,4.482253757194406e-17
288,0.21428571428571427,0.21350745021670017,2.8566507990427215e-11
320,0.07142857142857142,0.07419756391406024,3.628322408985828e-13
350,0.19642857142857142,0.2069383549768622,1.388967172189887e-12
385,0.07142857142857142,0.0847823088015624,1.1936436636006845e-14
432,0.19642857142857142,0.21003522799447794,4.284976198564083e-11
480,0.14285714285714285,0.1150490567583067,4.40841172691778e-11
506,0.0,0.031165721812924672,1.1474569618417679e-14
560,0.16071428571428573,0.17247654942130664,4.44469495100764e-12
616,0.017857142857142856,0.052255589825347025,1.955665778443361e-13
660,0.14285714285714285,0.13469867797042792,6.061566124511948e-11
704,0.05357142857142857,0.041427001143497476,3.1929237199075286e-14
759,0.05357142857142857,0.04017914617983094,1.0891876629982405e-14
825,0.16071428571428573,0.08544829731854728,2.959749084234349e-13
900,0.26785714285714285,0.3021965735933235,2.231758436752126e-09
966,0.17857142857142858,0.2013539633553329,1.2420700040590846e-11
1050,0.26785714285714285,0.24481904899433155,3.3751902284214256e-10
1120,0.19642857142857142,0.17594877164352885,8.88938990201528e-12
1232,0.03571428571428571,0.05399170093645814,3.911331556886722e-13
1296,0.30357142857142855,0.2933685613278113,1.285492859569225e-10
1386,0.19642857142857142,0.20122792946571205,4.811671189637584e-10
1506,0.16071428571428573,0.1802037814741619,2.766278358640907e-12
1584,0.21428571428571427,0.2049847229439729,1.571157939473497e-10
1680,0.25,0.21643363232766488,1.0800608730948562e-09
1782,0.2857142857142857,0.286252084055084,8.837763409538423e-11
1890,0.30357142857142855,0.3253693436071262,1.640342451012813e-08
2024,0.0,0.034967805146258,9.179655694734143e-14
2160,0.23214285714285715,0.2534118513711013,5.356220248205103e-09
2268,0.2857142857142857,0.29601801784955045,1.5747287529723003e-09
2415,0.19642857142857142,0.15719213319281794,6.06479494169475e-12
2520,0.30357142857142855,0.3218103158293484,4.374246536034169e-08
2760,0.07142857142857142,0.11650480209992162,2.534836742977724e-10
2898,0.26785714285714285,0.2980658741297436,1.0060767032878586e-09
3080,0.14285714285714285,0.18336670093645815,2.4445822230542018e-11
3300,0.25,0.2346986779704279,3.030783062255973e-10
3520,0.07142857142857142,0.08682382654032286,3.99115464988441e-12
3696,0.125,0.10097908687311943,9.504535683234733e-11
3864,0.17857142857142858,0.2077602133553329,9.936560032472677e-11
4048,0.017857142857142856,0.036703916257369115,1.8359311389468286e-13
4347,0.17857142857142858,0.1629218259537607,1.1789961366654593e-11
4554,0.16071428571428573,0.19222171828558782,2.258539537993152e-10
4800,0.25,0.23588239009164003,4.4084117269177795e-10
5040,0.35714285714285715,0.3374353158293484,8.748493072068337e-08
5271,0.08928571428571429,0.10314536899795052,5.294829670836111e-13
5544,0.19642857142857142,0.21544667946571205,3.849336951710067e-09
5940,0.2857142857142857,0.34361071500746493,1.4729605682564034e-08
6210,0.16071428571428573,0.23064884671271624,7.699566606794836e-09
6440,0.17857142857142858,0.21059551077396363,5.111399193658785e-11
6831,0.125,0.10999974803168278,2.6467260210857253e-12
7128,0.2857142857142857,0.300470834055084,7.070210727630738e-10
7452,0.25,0.28701180666942616,7.391583942523043e-10
7728,0.21428571428571427,0.21296854668866622,1.9873120064945353e-10
8280,0.16071428571428573,0.22708981893493846,2.053217761811956e-08
8785,0.08928571428571429,0.14072017350436733,2.723677814216107e-13
9072,0.3392857142857143,0.31945551784955045,6.298915011889201e-09
9504,0.26785714285714285,0.26401250072175064,9.426947636840983e-10
10080,0.39285714285714285,0.3686853158293484,1.7496986144136675e-07
10560,0.21428571428571427,0.17376117797042792,9.698505799219117e-10
11200,0.30357142857142855,0.2828932160879733,8.889389902015277e-11
11550,0.3392857142857143,0.28269783687311945,3.712709251263568e-09
12144,0.08928571428571429,0.09197287569299521,4.461312667640793e-11
12600,0.4107142857142857,0.4218103158293484,2.1871232680170837e-07
13248,0.25,0.2930881955583151,1.314059367559652e-09
14056,0.14285714285714285,0.17423232933196703,4.462473730811671e-12
14490,0.39285714285714285,0.41715678322065275,1.2575958791098234e-07
15180,0.14285714285714285,0.15177942331204283,1.394160208637748e-09
15939,0.21428571428571427,0.1603965734285082,4.3229858344400174e-11
16560,0.21428571428571427,0.24271481893493846,4.106435523623912e-08
17388,0.2857142857142857,0.3322499019075214,1.2072920439454303e-08
18072,0.25,0.29113444224857266,1.7925483763993076e-09
18825,0.125,0.1287598993950896,6.753609274025652e-12
19800,0.375,0.42364543722968717,4.9098685608546775e-08
20331,0.17857142857142858,0.19401340167984188,7.877409857223521e-12
21600,0.375,0.3846618513711013,5.356220248205104e-08
22275,0.32142857142857145,0.23026889917039914,2.1576570824068407e-10
23184,0.32142857142857145,0.32790962412974367,1.6097227252605737e-08
24840,0.17857142857142858,0.2548675967127162,6.159653285435869e-08
25300,0.125,0.17949657498752786,2.8686424046044192e-11
26565,0.25,0.1761315271322119,6.671274435864224e-11
28112,0.16071428571428573,0.17596844044307813,8.924947461623341e-12
28980,0.4107142857142857,0.4335630332206527,5.030383516439294e-07
30800,0.26785714285714285,0.28510281204756927,2.444582223054201e-10
